topic,group,mean_js_llm,mean_f1_llm,mean_cramer_llm,mean_js_diff,mean_f1_diff,mean_cramer_diff,llm_js_lower,llm_js_upper,baseline_js_lower,baseline_js_upper,diff_js_lower,diff_js_upper,diff_sig_js,llm_f1_score_lower,llm_f1_score_upper,baseline_f1_score_lower,baseline_f1_score_upper,diff_f1_score_lower,diff_f1_score_upper,diff_sig_f1_score,llm_cramer_v_lower,llm_cramer_v_upper,baseline_cramer_v_lower,baseline_cramer_v_upper,diff_cramer_v_lower,diff_cramer_v_upper,diff_sig_cramer_v
race_diversity,attit+moral,0.28185391713335195,0.5403489645928304,0.1662877610077136,-0.0921829251941152,-0.05975486610569672,-0.052286542387748304,0.266278103278691,0.2978430023923322,0.17453706824117807,0.2041102266322663,-0.10594876160090051,-0.07940294156053028,True,0.5202224364993955,0.5578594689542024,0.58323586379987,0.6167638927756313,-0.07309678335668784,-0.04684148572748451,True,0.14271125830485523,0.18787587518113033,0.19477883949417527,0.25067086403611083,-0.0823513978382399,-0.02951996310906338,True
race_diversity,demo+moral,0.27463745236557613,0.4929181208037913,0.06770756699996779,-0.08503549863876589,-0.10741418459221275,-0.15253917718973292,0.25840802672635027,0.2913332701560959,0.1757648518592819,0.2041734847458052,-0.10059986117997952,-0.06905843143401484,True,0.47557809894628067,0.5111321758640837,0.5825465972277608,0.617046761727096,-0.1251690235588534,-0.09018937913589638,True,0.04372966030909104,0.09459558453220804,0.19595588599570388,0.25447839662149074,-0.19377445671226695,-0.11357120017269277,True
race_diversity,moral,0.3439259861596484,0.5112799399395029,0.18473685016706393,-0.1540168608651703,-0.08875617416947934,-0.035568390289027876,0.3289332448383596,0.3577221938805871,0.17526917955423787,0.2035837430988391,-0.16792941324898603,-0.14016890420963082,True,0.4930332098328299,0.5297763584846547,0.5843759370016286,0.6164139886727256,-0.10520460317480691,-0.07271480869924107,True,0.1520012047401042,0.21547926027361466,0.1971595365823791,0.2539754457758939,-0.0780055676523455,0.0018297477800120557,False
gender_role,demo,0.436100645690149,0.5212566628594433,0.046145318265977,-0.3192747502764626,-0.08579433612276549,-0.15734208330967248,0.423562650533913,0.4482968146738693,0.10077924796607533,0.1328203076234479,-0.34109050264281615,-0.295464923580873,True,0.5021950807495628,0.5412047028014999,0.5909291433882965,0.6229582987865425,-0.10713977033243648,-0.06668389917759304,True,0.02022933532949637,0.08999736637826021,0.18096647069930952,0.2256316826402547,-0.19128946905541142,-0.1132545112467149,True
gender_role,demo+attit,0.1966089039784696,0.5393028839419921,0.202409361818114,-0.07896193806568177,-0.06752002686082227,-0.0007397103078081468,0.1791044835454414,0.21387368009630645,0.10185941734793327,0.13342156703846497,-0.10800163166129226,-0.051277138412556066,True,0.5227802871874252,0.5546343005423192,0.5906165462509766,0.6223897540188034,-0.08543823155194462,-0.04932838099968697,True,0.1810797600723356,0.22217722853866068,0.18139049463571003,0.22493893766400555,-0.02029113588314706,0.018729648946974445,False
gender_role,demo+attit+moral,0.08330490517670332,0.6034050258448747,0.22912154822227732,0.034105925182352434,-0.0031075896949305532,0.02535811140870911,0.0668310682641593,0.10094617940840257,0.1017614890209775,0.13340729213808974,0.013205805977513233,0.05294087666638367,True,0.5876556367754197,0.6180092366564301,0.5911432177809437,0.6212489579384598,-0.01551440983019219,0.008906199604424368,False,0.20821910199090587,0.24959486312989004,0.18298573129469792,0.2252825256633586,0.007484488834193691,0.043930077458170534,True
gender_role,attit,0.21951533613472854,0.5220423535401112,0.21174515167024804,-0.10250636063315642,-0.08439886990611654,0.00864720991752521,0.2016996845867002,0.23675636181709628,0.10219879958037456,0.13231516729993076,-0.12844219659606748,-0.07671108892627669,True,0.5073389233270836,0.5377429684687856,0.5917597917807502,0.6219983711144776,-0.10125566210978836,-0.06696062659203283,True,0.19246398311954946,0.2318624501605114,0.18108187301133746,0.22583789087107017,-0.010685064635161497,0.0304162841089264,False
gender_role,attit+moral,0.1629639750557667,0.5669142065109434,0.2242666947209602,-0.04586783310102498,-0.039651287507232,0.02071438391621899,0.14703555984919633,0.1797114538084128,0.10055954263480525,0.13376959165462937,-0.06534451325703798,-0.027203689452407417,True,0.5511871160760079,0.5832525011083928,0.5906667796774214,0.6220678896584096,-0.05220494645364427,-0.026987330072184755,True,0.20459880624563676,0.24435429935945527,0.18257754114268715,0.22530923719510582,0.003934493555604042,0.038208181841127085,True
gender_role,demo+moral,0.09518651187820563,0.5765915766509477,0.15893470543496993,0.02217885100774835,-0.030127198270614317,-0.04459739484231993,0.07907861501082777,0.11220474674297133,0.1007342491679807,0.1336507539847369,0.008731602078767641,0.0362745264441344,True,0.5611574581353261,0.5917213753018492,0.5915666813986383,0.6214998303782024,-0.04354161212368324,-0.01662769510092974,True,0.13562194060608657,0.1827049329531843,0.18208282148570157,0.2247051581195792,-0.06762808947200152,-0.02245665092771203,True
gender_role,moral,0.36377645060656033,0.41080022356874096,0.16683309752588094,-0.24674685366564858,-0.19645766599029835,-0.037186822735073136,0.3464615494737933,0.3816326218278421,0.10085006106770386,0.13299385142250592,-0.27042184167110006,-0.22323298619807108,True,0.393738794891811,0.42696058690094674,0.5913057813335715,0.6226939869635135,-0.2163677517984014,-0.1787852297895631,True,0.14551650798929536,0.18759958833609716,0.18220348303630207,0.2255709864071941,-0.05686865888290857,-0.015759181968567373,True
current_economy,demo,0.5383291857291784,0.2990499226719769,0.04178423582869564,-0.45320815077455984,-0.2173888493417325,-0.24638067332287153,0.5245702041577949,0.5509614967064053,0.0693410878816687,0.09932769103722688,-0.4687014034932331,-0.43903861297460556,True,0.28262244926615887,0.3151844472920846,0.5000836336657085,0.5337269619256992,-0.2357716325516004,-0.19752482976949012,True,0.02410909104743003,0.06262228431034836,0.26755368276447605,0.3121062183291029,-0.27688339456347655,-0.21833171150658762,True
current_economy,demo+attit,0.27783058169083247,0.4312748902596525,0.20874476235277145,-0.19248124858845153,-0.08556388400894623,-0.07998237979336822,0.260556417817319,0.2950549336340823,0.07031326491498868,0.09932924268653809,-0.20541100095255335,-0.1784511746012652,True,0.4142292492223653,0.44861979560054926,0.49976562811145697,0.5337239711576283,-0.10111523186906027,-0.06980203270587913,True,0.1851367398330328,0.23147243827628966,0.2671443962593211,0.31261199517373656,-0.10242576881135326,-0.05671666652705795,True
current_economy,demo+attit+moral,0.3875765950722993,0.3717635631492508,0.13717899257274346,-0.30262175885258075,-0.14522272582877666,-0.15178261321587508,0.3710349575872553,0.4042151017395314,0.07040893543312364,0.09978870842115947,-0.3176728055653945,-0.2875546199149733,True,0.35450502855943566,0.3901922346717637,0.5010270470346142,0.5329465453720895,-0.16326270323971215,-0.12553235874552765,True,0.11297250732114192,0.16162694105712608,0.26577644512309584,0.31158963156692976,-0.1798721199819647,-0.12418622289478379,True
current_economy,attit,0.06629850574769193,0.5486840090500076,0.35941507257671573,0.018673995872209283,0.03205216419549036,0.07120792780421675,0.05082576369524224,0.08149766328128398,0.07011908746110446,0.09995033041607947,-0.008511637885363436,0.04559375709927309,False,0.5330524696740043,0.5640150383498699,0.5001124370992484,0.5327262038032506,0.01541636547976855,0.047936420360767715,True,0.33861909640527127,0.38003414856358064,0.2643315347360007,0.3098627718093215,0.05089016346957269,0.09098796834271333,True
current_economy,attit+moral,0.06662525408019752,0.5491068964783398,0.35984077560845434,0.01825780054330755,0.03218813478735,0.07097147194012512,0.05100330879035681,0.08284960751895508,0.07099834543601283,0.09915050462997817,-0.007031589757428304,0.04427819563664252,False,0.5333970438719581,0.5648862055472006,0.5013956366853672,0.533183870577803,0.016071893069812552,0.048035387324020545,True,0.33851067937786905,0.37968628698751167,0.26644917212449043,0.3127775914102082,0.049454618743480616,0.09244090817035265,True
current_economy,demo+moral,0.5385372596399884,0.29952161864466725,0.042162045429652725,-0.4532760008019813,-0.21691747012652626,-0.24598247131698334,0.5252402912762585,0.5513278746449958,0.0703947235980171,0.10002263519838059,-0.4679745343171384,-0.43834196936490266,True,0.2823275743828271,0.3158566063391823,0.5004712632776596,0.5318369136395938,-0.2357870633536212,-0.19630431896725858,True,0.023079081014880005,0.061267541129050515,0.26590228504559815,0.3096735045925346,-0.27659027408036674,-0.2159536504384987,True
